service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
CA_D6-Sunday,0,0,0,0,0,0,1,20160904,20170102
CA_D6-Weekday-SDon,1,1,1,1,1,0,0,20160905,20170106
CA_D6-Saturday,0,0,0,0,0,1,0,20160910,20170107
CA_S6-Weekday,1,1,1,1,1,0,0,20161125,20161125
CH_D6-Sunday,0,0,0,0,0,0,1,20160904,20170102
CH_D6-Weekday-SDon,1,1,1,1,1,0,0,20160905,20170106
CH_D6-Saturday,0,0,0,0,0,1,0,20160910,20170107
CH_S6-Weekday,1,1,1,1,1,0,0,20161125,20161125
MA_D6-Sunday,0,0,0,0,0,0,1,20160904,20170102
MA_D6-Weekday-SDon,1,1,1,1,1,0,0,20160905,20170106
MA_D6-Saturday,0,0,0,0,0,1,0,20160910,20170107
MA_S6-Weekday,1,1,1,1,1,0,0,20161125,20161125
YU_D6-Sunday,0,0,0,0,0,0,1,20160904,20170102
YU_D6-Weekday-SDon,1,1,1,1,1,0,0,20160905,20170106
YU_D6-Saturday,0,0,0,0,0,1,0,20160910,20170107
YU_S6-Weekday,1,1,1,1,1,0,0,20161125,20161125
