service_id,date,exception_type
CA_D6-Sunday,20161124,1
CA_D6-Sunday,20161226,1
CA_D6-Sunday,20170102,1
CA_D6-Weekday-SDon,20161124,2
CA_D6-Weekday-SDon,20161125,2
CA_D6-Weekday-SDon,20161226,2
CA_D6-Weekday-SDon,20170102,2
CA_D6-Weekday-SDon,20160905,2
CA_D6-Weekday-SDon,20160906,2
CA_D6-Weekday-SDon,20160907,2
CA_D6-Weekday-SDon,20161003,2
CA_D6-Weekday-SDon,20161004,2
CA_D6-Weekday-SDon,20161010,2
CA_D6-Weekday-SDon,20161011,2
CA_D6-Weekday-SDon,20161108,2
CA_D6-Weekday-SDon,20161111,2
CA_D6-Weekday-SDon,20161227,2
CA_D6-Weekday-SDon,20161228,2
CA_D6-Weekday-SDon,20161229,2
CA_D6-Weekday-SDon,20161230,2
CA_D6-Weekday,20160905,1
CA_D6-Weekday,20160906,1
CA_D6-Weekday,20160907,1
CA_D6-Weekday,20161003,1
CA_D6-Weekday,20161004,1
CA_D6-Weekday,20161010,1
CA_D6-Weekday,20161011,1
CA_D6-Weekday,20161108,1
CA_D6-Weekday,20161111,1
CA_D6-Weekday,20161227,1
CA_D6-Weekday,20161228,1
CA_D6-Weekday,20161229,1
CA_D6-Weekday,20161230,1
CH_D6-Sunday,20161124,1
CH_D6-Sunday,20161226,1
CH_D6-Sunday,20170102,1
CH_D6-Weekday-SDon,20161124,2
CH_D6-Weekday-SDon,20161125,2
CH_D6-Weekday-SDon,20161226,2
CH_D6-Weekday-SDon,20170102,2
CH_D6-Weekday-SDon,20160905,2
CH_D6-Weekday-SDon,20160906,2
CH_D6-Weekday-SDon,20160907,2
CH_D6-Weekday-SDon,20161003,2
CH_D6-Weekday-SDon,20161004,2
CH_D6-Weekday-SDon,20161010,2
CH_D6-Weekday-SDon,20161011,2
CH_D6-Weekday-SDon,20161108,2
CH_D6-Weekday-SDon,20161111,2
CH_D6-Weekday-SDon,20161227,2
CH_D6-Weekday-SDon,20161228,2
CH_D6-Weekday-SDon,20161229,2
CH_D6-Weekday-SDon,20161230,2
CH_D6-Weekday,20160905,1
CH_D6-Weekday,20160906,1
CH_D6-Weekday,20160907,1
CH_D6-Weekday,20161003,1
CH_D6-Weekday,20161004,1
CH_D6-Weekday,20161010,1
CH_D6-Weekday,20161011,1
CH_D6-Weekday,20161108,1
CH_D6-Weekday,20161111,1
CH_D6-Weekday,20161227,1
CH_D6-Weekday,20161228,1
CH_D6-Weekday,20161229,1
CH_D6-Weekday,20161230,1
MA_D6-Sunday,20161124,1
MA_D6-Sunday,20161226,1
MA_D6-Sunday,20170102,1
MA_D6-Weekday-SDon,20161124,2
MA_D6-Weekday-SDon,20161125,2
MA_D6-Weekday-SDon,20161226,2
MA_D6-Weekday-SDon,20170102,2
MA_D6-Weekday-SDon,20160905,2
MA_D6-Weekday-SDon,20160906,2
MA_D6-Weekday-SDon,20160907,2
MA_D6-Weekday-SDon,20161003,2
MA_D6-Weekday-SDon,20161004,2
MA_D6-Weekday-SDon,20161010,2
MA_D6-Weekday-SDon,20161011,2
MA_D6-Weekday-SDon,20161108,2
MA_D6-Weekday-SDon,20161111,2
MA_D6-Weekday-SDon,20161227,2
MA_D6-Weekday-SDon,20161228,2
MA_D6-Weekday-SDon,20161229,2
MA_D6-Weekday-SDon,20161230,2
MA_D6-Weekday,20160905,1
MA_D6-Weekday,20160906,1
MA_D6-Weekday,20160907,1
MA_D6-Weekday,20161003,1
MA_D6-Weekday,20161004,1
MA_D6-Weekday,20161010,1
MA_D6-Weekday,20161011,1
MA_D6-Weekday,20161108,1
MA_D6-Weekday,20161111,1
MA_D6-Weekday,20161227,1
MA_D6-Weekday,20161228,1
MA_D6-Weekday,20161229,1
MA_D6-Weekday,20161230,1
YU_D6-Sunday,20161124,1
YU_D6-Sunday,20161226,1
YU_D6-Sunday,20170102,1
YU_D6-Weekday-SDon,20161124,2
YU_D6-Weekday-SDon,20161125,2
YU_D6-Weekday-SDon,20161226,2
YU_D6-Weekday-SDon,20170102,2
YU_D6-Weekday-SDon,20160905,2
YU_D6-Weekday-SDon,20160906,2
YU_D6-Weekday-SDon,20160907,2
YU_D6-Weekday-SDon,20161003,2
YU_D6-Weekday-SDon,20161004,2
YU_D6-Weekday-SDon,20161010,2
YU_D6-Weekday-SDon,20161011,2
YU_D6-Weekday-SDon,20161108,2
YU_D6-Weekday-SDon,20161111,2
YU_D6-Weekday-SDon,20161227,2
YU_D6-Weekday-SDon,20161228,2
YU_D6-Weekday-SDon,20161229,2
YU_D6-Weekday-SDon,20161230,2
YU_D6-Weekday,20160905,1
YU_D6-Weekday,20160906,1
YU_D6-Weekday,20160907,1
YU_D6-Weekday,20161003,1
YU_D6-Weekday,20161004,1
YU_D6-Weekday,20161010,1
YU_D6-Weekday,20161011,1
YU_D6-Weekday,20161108,1
YU_D6-Weekday,20161111,1
YU_D6-Weekday,20161227,1
YU_D6-Weekday,20161228,1
YU_D6-Weekday,20161229,1
YU_D6-Weekday,20161230,1
